timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2025-05-12 02:00:00,2025-05-12 03:00:00,2025-05-12 02:00:00,2025-05-12 02:00:00,solana,173.23907218813298,173.23907218813298,173.23907218813298,173.23907218813298,3959420611.3062334,89896498273.46419,2025-05-12 02:00:00
2025-05-12 03:00:00,2025-05-12 04:00:00,2025-05-12 03:00:00,2025-05-12 03:00:00,solana,174.05954770647327,174.05954770647327,174.05954770647327,174.05954770647327,3949386060.476439,90408778903.72482,2025-05-12 03:00:00
2025-05-12 04:00:00,2025-05-12 05:00:00,2025-05-12 04:00:00,2025-05-12 04:00:00,solana,174.4741557401727,174.4741557401727,174.4741557401727,174.4741557401727,3981070894.9330273,90597038041.34283,2025-05-12 04:00:00
2025-05-12 05:00:00,2025-05-12 06:00:00,2025-05-12 05:00:00,2025-05-12 05:00:00,solana,175.72336775963373,175.72336775963373,175.72336775963373,175.72336775963373,4015988229.678835,91257317084.06532,2025-05-12 05:00:00
2025-05-12 06:00:00,2025-05-12 07:00:00,2025-05-12 06:00:00,2025-05-12 06:00:00,solana,174.48907875210583,174.48907875210583,174.48907875210583,174.48907875210583,4088255961.4817224,90589558271.24754,2025-05-12 06:00:00
2025-05-12 07:00:00,2025-05-12 08:00:00,2025-05-12 07:00:00,2025-05-12 07:00:00,solana,175.81508557044359,175.81508557044359,175.81508557044359,175.81508557044359,4054939024.565609,91277811293.65358,2025-05-12 07:00:00
2025-05-12 08:00:00,2025-05-12 09:00:00,2025-05-12 08:00:00,2025-05-12 08:00:00,solana,175.40246545463722,175.40246545463722,175.40246545463722,175.40246545463722,4907293036.997149,91182538935.3889,2025-05-12 08:00:00
2025-05-12 09:00:00,2025-05-12 10:00:00,2025-05-12 09:00:00,2025-05-12 09:00:00,solana,176.32008028495449,176.32008028495449,176.32008028495449,176.32008028495449,5170166295.268146,91558539114.70576,2025-05-12 09:00:00
2025-05-12 10:00:00,2025-05-12 11:00:00,2025-05-12 10:00:00,2025-05-12 10:00:00,solana,175.74950320738108,175.74950320738108,175.74950320738108,175.74950320738108,5235019991.747912,91248771365.6584,2025-05-12 10:00:00
2025-05-12 11:00:00,2025-05-12 12:00:00,2025-05-12 11:00:00,2025-05-12 11:00:00,solana,175.76914242750289,175.76914242750289,175.76914242750289,175.76914242750289,5333000203.138331,91237870949.25949,2025-05-12 11:00:00
2025-05-12 12:00:00,2025-05-12 13:00:00,2025-05-12 12:00:00,2025-05-12 12:00:00,solana,174.2903522574891,174.2903522574891,174.2903522574891,174.2903522574891,5500816059.505653,90491147416.88899,2025-05-12 12:00:00
2025-05-12 13:00:00,2025-05-12 14:00:00,2025-05-12 13:00:00,2025-05-12 13:00:00,solana,176.54789021027102,176.54789021027102,176.54789021027102,176.54789021027102,5456931659.658838,91672806327.01003,2025-05-12 13:00:00
2025-05-12 14:00:00,2025-05-12 15:00:00,2025-05-12 14:00:00,2025-05-12 14:00:00,solana,178.96705742432735,178.96705742432735,178.96705742432735,178.96705742432735,6125935247.514556,92848498995.50786,2025-05-12 14:00:00
2025-05-12 15:00:00,2025-05-12 16:00:00,2025-05-12 15:00:00,2025-05-12 15:00:00,solana,176.5788335641851,176.5788335641851,176.5788335641851,176.5788335641851,6780966467.346167,91886449545.72893,2025-05-12 15:00:00
2025-05-12 16:00:00,2025-05-12 17:00:00,2025-05-12 16:00:00,2025-05-12 16:00:00,solana,174.39426661127578,174.39426661127578,174.39426661127578,174.39426661127578,7082587061.933258,90708172015.42752,2025-05-12 16:00:00
2025-05-12 17:00:00,2025-05-12 18:00:00,2025-05-12 17:00:00,2025-05-12 17:00:00,solana,175.95658851684087,175.95658851684087,175.95658851684087,175.95658851684087,7129470906.293981,91402691852.0293,2025-05-12 17:00:00
2025-05-12 18:00:00,2025-05-12 19:00:00,2025-05-12 18:00:00,2025-05-12 18:00:00,solana,172.39942906008642,172.39942906008642,172.39942906008642,172.39942906008642,7077044009.628808,89567868428.74072,2025-05-12 18:00:00
2025-05-12 19:00:00,2025-05-12 20:00:00,2025-05-12 19:00:00,2025-05-12 19:00:00,solana,170.47532978529162,170.47532978529162,170.47532978529162,170.47532978529162,7650318097.483255,88384342638.47075,2025-05-12 19:00:00
2025-05-12 20:00:00,2025-05-12 21:00:00,2025-05-12 20:00:00,2025-05-12 20:00:00,solana,170.9915527879658,170.9915527879658,170.9915527879658,170.9915527879658,7811138122.361103,88766483883.26825,2025-05-12 20:00:00
2025-05-12 21:00:00,2025-05-12 22:00:00,2025-05-12 21:00:00,2025-05-12 21:00:00,solana,172.3406169820848,172.3406169820848,172.3406169820848,172.3406169820848,7898363230.576812,89530402587.76207,2025-05-12 21:00:00
2025-05-12 22:00:00,2025-05-12 23:00:00,2025-05-12 22:00:00,2025-05-12 22:00:00,solana,172.64547731296258,172.64547731296258,172.64547731296258,172.64547731296258,7935681664.074507,89639131062.02966,2025-05-12 22:00:00
2025-05-12 23:00:00,2025-05-13 00:00:00,2025-05-12 23:00:00,2025-05-12 23:00:00,solana,173.8109912838764,173.8109912838764,173.8109912838764,173.8109912838764,7958608793.853985,90290457985.14087,2025-05-12 23:00:00
2025-05-13 00:00:00,2025-05-13 01:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,solana,174.24300054021705,174.24300054021705,174.24300054021705,174.24300054021705,7983073550.84337,90552619193.39746,2025-05-13 00:00:00
